height,sex,handlength,thumblength,gubics
180.34,1,19.3,6.6585,2.996325
172.72,1,19.5,6.7275,3.027375
172.72,1,20.3,7.0035,3.151575
167.64,1,19.4,6.693,3.01185
195.58,1,21.8,7.521,3.38445
175.26,1,19,6.555,2.94975
182.88,1,22,7.59,3.4155
187.96,1,19.8,6.831,3.07395
177.8,1,19.7,6.7965,3.058425
182.88,1,20,6.9,3.105
177.8,1,20,6.9,3.105
175.26,1,19.4,6.693,3.01185
182.88,1,21,7.245,3.26025
190.5,1,19.4,6.693,3.01185
172.72,1,18.4,6.348,2.8566
175.26,1,20.3,7.0035,3.151575
170.18,1,18.8,6.486,2.9187
177.8,1,20.3,7.0035,3.151575
177.8,1,17.9,6.1755,2.778975
177.8,1,19.8,6.831,3.07395
180.34,1,19.5,6.7275,3.027375
167.64,1,18.5,6.3825,2.872125
167.64,1,18,6.21,2.7945
200.66,1,22.7,7.8315,3.524175
177.8,1,19.4,6.693,3.01185
162.56,1,18.1,6.2445,2.810025
185.42,1,19.9,6.8655,3.089475
180.34,1,19.2,6.624,2.9808
175.26,1,19.3,6.6585,2.996325
185.42,1,19.6,6.762,3.0429
190.5,1,19.2,6.624,2.9808
180.34,1,20.1,6.9345,3.120525
165.1,1,18.7,6.4515,2.903175
187.96,1,19.5,6.7275,3.027375
180.34,1,19.3,6.6585,2.996325
180.34,1,19.4,6.693,3.01185
172.72,1,18.3,6.3135,2.841075
187.96,1,19.7,6.7965,3.058425
172.72,1,21,7.245,3.26025
175.26,1,19.6,6.762,3.0429
177.8,1,18.4,6.348,2.8566
170.18,1,18.9,6.5205,2.934225
185.42,1,20.6,7.107,3.19815
172.72,1,19,6.555,2.94975
177.8,1,19.8,6.831,3.07395
167.64,1,19,6.555,2.94975
175.26,1,20,6.9,3.105
175.26,1,18.3,6.3135,2.841075
190.5,1,21.2,7.314,3.2913
167.64,1,18.4,6.348,2.8566
180.34,1,20.6,7.107,3.19815
185.42,1,20.3,7.0035,3.151575
165.1,1,18.7,6.4515,2.903175
177.8,1,18.5,6.3825,2.872125
170.18,1,19,6.555,2.94975
182.88,1,21.3,7.3485,3.306825
180.34,1,19.6,6.762,3.0429
177.8,1,18.7,6.4515,2.903175
172.72,1,18.9,6.5205,2.934225
190.5,1,20.5,7.0725,3.182625
162.56,1,17.8,6.141,2.76345
175.26,1,18.4,6.348,2.8566
185.42,1,19.3,6.6585,2.996325
172.72,1,19.1,6.5895,2.965275
175.26,1,19.7,6.7965,3.058425
170.18,1,17.8,6.141,2.76345
167.64,1,18,6.21,2.7945
187.96,1,19.9,6.8655,3.089475
177.8,1,19,6.555,2.94975
162.56,1,18.4,6.348,2.8566
175.26,1,19.6,6.762,3.0429
172.72,1,20.3,7.0035,3.151575
162.56,1,18,6.21,2.7945
175.26,1,18.1,6.2445,2.810025
185.42,1,19.5,6.7275,3.027375
175.26,1,18.1,6.2445,2.810025
167.64,1,19,6.555,2.94975
175.26,1,21,7.245,3.26025
185.42,1,20,6.9,3.105
182.88,1,20.8,7.176,3.2292
180.34,1,18.8,6.486,2.9187
177.8,1,19.1,6.5895,2.965275
182.88,1,20.1,6.9345,3.120525
180.34,1,19,6.555,2.94975
172.72,1,19.1,6.5895,2.965275
157.48,1,16.5,5.6925,2.561625
172.72,1,19.2,6.624,2.9808
182.88,1,19.4,6.693,3.01185
177.8,1,19.4,6.693,3.01185
170.18,1,20.4,7.038,3.1671
172.72,1,19.7,6.7965,3.058425
172.72,1,18.7,6.4515,2.903175
182.88,1,19.2,6.624,2.9808
185.42,1,20.3,7.0035,3.151575
190.5,1,20.2,6.969,3.13605
182.88,1,19.5,6.7275,3.027375
167.64,1,17.5,6.0375,2.716875
170.18,1,18.4,6.348,2.8566
187.96,1,18.6,6.417,2.88765
180.34,1,19.5,6.7275,3.027375
182.88,1,20.4,7.038,3.1671
175.26,1,18.2,6.279,2.82555
180.34,1,19.1,6.5895,2.965275
182.88,1,18.3,6.3135,2.841075
185.42,1,20.1,6.9345,3.120525
190.5,1,19.7,6.7965,3.058425
175.26,1,19.2,6.624,2.9808
175.26,1,19.6,6.762,3.0429
185.42,1,20.4,7.038,3.1671
170.18,1,19.4,6.693,3.01185
185.42,1,19.2,6.624,2.9808
182.88,1,19.9,6.8655,3.089475
170.18,1,17.7,6.1065,2.747925
185.42,1,20.9,7.2105,3.244725
180.34,1,19.1,6.5895,2.965275
185.42,1,19.7,6.7965,3.058425
170.18,1,18.2,6.279,2.82555
177.8,1,19,6.555,2.94975
187.96,1,20.8,7.176,3.2292
167.64,1,18,6.21,2.7945
165.1,1,17.4,6.003,2.70135
175.26,1,19.2,6.624,2.9808
172.72,1,18.5,6.3825,2.872125
190.5,1,20.7,7.1415,3.213675
190.5,1,20.5,7.0725,3.182625
177.8,1,20,6.9,3.105
180.34,1,19.6,6.762,3.0429
185.42,1,20.3,7.0035,3.151575
182.88,1,19.7,6.7965,3.058425
175.26,1,19.1,6.5895,2.965275
167.64,1,18.5,6.3825,2.872125
182.88,1,19.6,6.762,3.0429
175.26,1,20.8,7.176,3.2292
175.26,1,19.6,6.762,3.0429
182.88,1,20.6,7.107,3.19815
170.18,1,18.8,6.486,2.9187
187.96,1,20.4,7.038,3.1671
182.88,1,18.3,6.3135,2.841075
180.34,1,22.2,7.659,3.44655
175.26,1,18.8,6.486,2.9187
180.34,1,19.7,6.7965,3.058425
177.8,1,18.9,6.5205,2.934225
190.5,1,20.5,7.0725,3.182625
167.64,1,18,6.21,2.7945
180.34,1,19,6.555,2.94975
190.5,1,19.5,6.7275,3.027375
172.72,1,19,6.555,2.94975
180.34,1,19,6.555,2.94975
187.96,1,21.1,7.2795,3.275775
193.04,1,20.4,7.038,3.1671
182.88,1,19.2,6.624,2.9808
182.88,1,19.5,6.7275,3.027375
182.88,1,18.8,6.486,2.9187
175.26,1,18.3,6.3135,2.841075
193.04,1,21,7.245,3.26025
182.88,1,19.9,6.8655,3.089475
177.8,1,20.1,6.9345,3.120525
177.8,1,17.7,6.1065,2.747925
167.64,1,18.8,6.486,2.9187
180.34,1,18.5,6.3825,2.872125
187.96,1,21.8,7.521,3.38445
175.26,1,18.3,6.3135,2.841075
185.42,1,20,6.9,3.105
180.34,1,19.6,6.762,3.0429
172.72,1,18.7,6.4515,2.903175
172.72,1,18.3,6.3135,2.841075
182.88,1,18.4,6.348,2.8566
165.1,1,17.9,6.1755,2.778975
182.88,1,20.7,7.1415,3.213675
172.72,1,18.5,6.3825,2.872125
195.58,1,22.2,7.659,3.44655
175.26,1,18.5,6.3825,2.872125
180.34,1,19.4,6.693,3.01185
172.72,1,17.7,6.1065,2.747925
175.26,1,19.5,6.7275,3.027375
185.42,1,19.6,6.762,3.0429
170.18,1,18.5,6.3825,2.872125
182.88,1,19.8,6.831,3.07395
180.34,1,19.7,6.7965,3.058425
175.26,1,19.6,6.762,3.0429
172.72,1,18.7,6.4515,2.903175
167.64,1,18.2,6.279,2.82555
175.26,1,19.3,6.6585,2.996325
190.5,1,20.7,7.1415,3.213675
172.72,1,18.5,6.3825,2.872125
177.8,1,19.6,6.762,3.0429
195.58,1,20.4,7.038,3.1671
187.96,1,19.8,6.831,3.07395
190.5,1,20.3,7.0035,3.151575
172.72,1,18.6,6.417,2.88765
165.1,1,18.5,6.3825,2.872125
187.96,1,20.4,7.038,3.1671
180.34,1,19.5,6.7275,3.027375
177.8,1,20.6,7.107,3.19815
172.72,1,18.3,6.3135,2.841075
180.34,1,18.9,6.5205,2.934225
172.72,1,19.4,6.693,3.01185
185.42,1,18.9,6.5205,2.934225
172.72,1,18.8,6.486,2.9187
180.34,1,20.1,6.9345,3.120525
195.58,1,20,6.9,3.105
175.26,1,19.5,6.7275,3.027375
177.8,1,19,6.555,2.94975
175.26,1,19.3,6.6585,2.996325
172.72,1,17.5,6.0375,2.716875
172.72,1,18.3,6.3135,2.841075
182.88,1,19.5,6.7275,3.027375
193.04,1,19.5,6.7275,3.027375
177.8,1,19.3,6.6585,2.996325
172.72,1,18.4,6.348,2.8566
175.26,1,20.8,7.176,3.2292
175.26,1,18.7,6.4515,2.903175
172.72,1,19,6.555,2.94975
172.72,1,19.7,6.7965,3.058425
177.8,1,20,6.9,3.105
157.48,1,17.2,5.934,2.6703
190.5,1,19.6,6.762,3.0429
177.8,1,18.8,6.486,2.9187
182.88,1,20.3,7.0035,3.151575
167.64,1,16.5,5.6925,2.561625
162.56,1,18.3,6.3135,2.841075
175.26,1,19,6.555,2.94975
185.42,1,20.5,7.0725,3.182625
175.26,1,20,6.9,3.105
182.88,1,21.7,7.4865,3.368925
175.26,1,18.2,6.279,2.82555
170.18,1,18.1,6.2445,2.810025
177.8,1,18.5,6.3825,2.872125
180.34,1,19.5,6.7275,3.027375
177.8,1,20.1,6.9345,3.120525
165.1,1,17.9,6.1755,2.778975
175.26,1,18.7,6.4515,2.903175
167.64,1,19.3,6.6585,2.996325
182.88,1,20.1,6.9345,3.120525
175.26,1,18.7,6.4515,2.903175
162.56,1,18.6,6.417,2.88765
220.98,1,19.9,6.8655,3.089475
182.88,1,19.4,6.693,3.01185
175.26,1,17.8,6.141,2.76345
187.96,1,19.5,6.7275,3.027375
180.34,1,20.4,7.038,3.1671
180.34,1,18.7,6.4515,2.903175
167.64,1,20,6.9,3.105
177.8,1,18.7,6.4515,2.903175
182.88,1,20.4,7.038,3.1671
187.96,1,19.7,6.7965,3.058425
165.1,1,18.3,6.3135,2.841075
167.64,1,19.3,6.6585,2.996325
175.26,1,20.4,7.038,3.1671
162.56,1,17.6,6.072,2.7324
185.42,1,19.7,6.7965,3.058425
177.8,1,19.4,6.693,3.01185
180.34,1,20,6.9,3.105
175.26,1,18.4,6.348,2.8566
170.18,1,18,6.21,2.7945
170.18,1,18.4,6.348,2.8566
167.64,1,18.3,6.3135,2.841075
172.72,1,20.2,6.969,3.13605
177.8,1,20,6.9,3.105
172.72,1,19,6.555,2.94975
175.26,1,20.1,6.9345,3.120525
182.88,1,19.9,6.8655,3.089475
182.88,1,20.5,7.0725,3.182625
167.64,1,18.8,6.486,2.9187
177.8,1,19.2,6.624,2.9808
180.34,1,19.4,6.693,3.01185
167.64,1,18.4,6.348,2.8566
185.42,1,21,7.245,3.26025
190.5,1,20.4,7.038,3.1671
182.88,1,18.9,6.5205,2.934225
190.5,1,22,7.59,3.4155
175.26,1,19,6.555,2.94975
177.8,1,19.4,6.693,3.01185
165.1,1,19.5,6.7275,3.027375
177.8,1,18.7,6.4515,2.903175
160.02,1,19,6.555,2.94975
177.8,1,19.5,6.7275,3.027375
175.26,1,20,6.9,3.105
172.72,1,18,6.21,2.7945
195.58,1,22.5,7.7625,3.493125
177.8,1,19.9,6.8655,3.089475
185.42,1,18.7,6.4515,2.903175
182.88,1,19.8,6.831,3.07395
167.64,1,18.1,6.2445,2.810025
172.72,1,19.6,6.762,3.0429
177.8,1,19.3,6.6585,2.996325
167.64,1,19,6.555,2.94975
167.64,1,19.5,6.7275,3.027375
165.1,1,18,6.21,2.7945
190.5,1,20.9,7.2105,3.244725
167.64,1,18.6,6.417,2.88765
180.34,1,18.5,6.3825,2.872125
175.26,1,18.4,6.348,2.8566
187.96,1,20.4,7.038,3.1671
